atoll,region,seabird_data,lat,long,number_islets,land_area_sqkm,lagoon_area_sqkm,tropical_storms_50km,hurricanes_50km,hurricanes_100km,hurricanes_200km,distance_nearest_atoll_km,nearest_high_island,distance_nearest_high_island_km,distance_continent_km,human_population,annual_precipitation_mm
Satawan,Carolines,yes,5.4915713,153.5423431,33,5,,2,0,0,4,8,Chuuk,280,2172,3000,3406
Scilly,Eastern_Polynesia,yes,-16.5434000,-154.6841000,13,3.5,,2,2,2,4,78,Maupiti,254,5452,40,1846
Sorol,Carolines,yes,8.1237710,140.4063600,9,0.93,,8,10,21,32,196,Colonia,287,2097,0,3250
St_Francois,Western_Indian_Ocean,no,-7.1177000,52.7490000,2,0.5,,0,0,0,0,8,Mahe,398,1321,0,
St_Joseph,Western_Indian_Ocean,yes,-5.4306000,53.3358000,13,1.21,,0,0,0,0,185,Mahe,249,1191,0,1490
Starbuck,Central_Pacific,yes,-5.6405000,-155.8776000,1,16.2,,0,0,0,0,207,Bora_Bora,1276,5853,0,800
Suheli_Par,Lakshadweep,yes,10.0774000,72.2915000,3,0.89,,3,1,4,7,144,Sri_Lanka,837,404,10,
Samasuma,East_Papua,no,-1.4810000,144.0458000,4,2.55,,0,0,0,0,8,Papua,224,1035,0,
Surprise,Coral_Sea,yes,-18.4121000,163.1109000,3,0.53,,17,8,15,39,34,New_Caledonia,202,1298,0,750
Suwarrow,Eastern_Polynesia,yes,-13.2279000,-163.1261000,57,0.92,,3,1,2,7,388,Luma,688,4791,0,2400
Swains,Central_Pacific,yes,-11.0529040,-171.0767349,1,2.43,,1,0,2,6,178,Samoa,293,4099,0,2500
Tabiteuea,Gilberts,yes,-1.4089000,174.8694000,43,38,,0,0,0,0,68,Nauru,878,3532,5261,1491
Tabuaeran,Central_Pacific,yes,3.8720000,-159.3170178,22,33.73,,0,0,0,0,143,Hawaii,1712,6093,1990,2082
Taenga,Eastern_Polynesia,no,-16.3574000,-143.1398000,55,20,,0,0,0,0,42,Tahiti,657,6574,113,
Tahanea,Eastern_Polynesia,yes,-16.8646000,-144.7778000,86,9.5,,1,0,0,2,39,Tahiti,473,6390,0,
Taiaro,Eastern_Polynesia,yes,-15.7438000,-144.6336000,15,16,,0,0,0,1,51,Tahiti,528,6456,0,
Taka,Marshalls,yes,11.1520422,169.6179182,6,0.57,,2,1,3,3,7,Kosrae,967,3852,0,1583
Takapoto,Eastern_Polynesia,yes,-14.6323339,-145.1763392,43,15,,0,1,1,1,10,Tahiti,547,6455,380,1615
Takaroa,Eastern_Polynesia,yes,-14.4496000,-144.9694000,69,20,,0,1,1,1,23,Tahiti,579,6482,674,
Tatakoto,Eastern_Polynesia,yes,-17.3416000,-138.3967,56,7.3,,0,1,1,3,173,Mangareva,734,6990,259,
Takume,Eastern_Polynesia,yes,-15.8099000,-142.2098000,71,5,,0,0,0,0,20,Tahiti,769,6691,116,
Takuu,East_Papua,yes,-4.7537000,156.9735000,13,1.11,,0,0,0,0,166,Bougainville,219,1703,600,
Tarawa,Gilberts,yes,1.4387000,172.9878000,29,31.02,,0,0,0,0,8,Nauru,703,3543,70480,2170
Tauere,Eastern_Polynesia,no,-17.3772000,-141.506,7,3.9,,0,0,0,2,85,Tahiti,809,6687,7,
Tekokota,Eastern_Polynesia,yes,-17.3135000,-142.5725000,4,0.9,,0,0,0,0,25,Tahiti,696,6586,0,1560
Temitangi,Eastern_Polynesia,yes,-21.6803000,-140.6266,43,7.7,,3,1,1,2,164,Mangareva,601,6589,58,
Temoe,Eastern_Polynesia,yes,-23.3466000,-134.4779,32,2.1,,0,0,0,0,271,Mangareva,55,7116,0,1707
Tenararo,Eastern_Polynesia,yes,-21.3043000,-136.7447000,8,1.6,,2,0,1,3,8,Mangareva,266,6974,0,1658
Tenaruga,Eastern_Polynesia,no,-21.3451000,-136.542,15,2.3,,1,0,1,3,9,Mangareva,251,6997,50,
Tepoto,Eastern_Polynesia,no,-16.8206000,-144.2804000,1,0.6,,0,0,0,1,16,Tahiti,526,6441,0,
Teraina,Central_Pacific,yes,4.6839252,-160.3783959,1,14.2,,0,0,0,0,139,Hawaii,1655,6046,1893,2949
Tetiaroa,Eastern_Polynesia,yes,-17.0162552,-149.5897766,12,6.45,,0,0,2,3,132,Tahiti,54,5921,250,2800
Thiladhunmathi,Maldives,no,6.7164000,73.0161000,82,39.39,,2,0,0,1,34,Sri_Lanka,756,467,29732,
Tikehau,Eastern_Polynesia,yes,-15.0031000,-148.1738000,175,20,,0,1,3,4,13,Tahiti,306,6157,529,1780
Toau,Eastern_Polynesia,yes,-15.9070000,-146.0233000,70,12,,0,0,1,3,33,Tahiti,389,6311,18,
Tongareva,Eastern_Polynesia,yes,-8.9985560,-157.9715000,18,9.84,,0,0,0,1,358,Maupiti,1028,5442,226,2289
Tuanake,Eastern_Polynesia,no,-16.6531000,-144.2148000,33,6,,0,0,0,0,12,Tahiti,536,6454,6,
Tubbataha,Philippines,yes,8.8500000,119.9333000,1,0.4,,4,0,1,7,1462,Palawan,158,1205,0,
Tupai,Eastern_Polynesia,yes,-16.2623000,-151.8165000,5,10.24,,2,0,2,5,197,Bora_Bora,23,5736,0,1970
Tureia,Eastern_Polynesia,yes,-20.8293000,-138.539,27,8,,1,0,2,3,61,Mangareva,444,6829,275,
Ujae,Marshalls,yes,9.0812091,165.6122758,15,1.86,,5,3,5,8,49,Kosrae,499,3367,364,2286
Ujelang,Marshalls,yes,9.8206101,160.9263437,30,1.86,,2,3,6,13,218,Pohnpei,424,3054,0,1966
Ulithi,Carolines,yes,9.9613889,139.6036111,40,4.5,,24,13,27,55,17,Colonia,166,2308,773,2832
Utirik,Marshalls,yes,11.0279314,169.7136025,10,2.4,,1,1,3,4,7,Kosrae,984,3873,350,1583
Vahanga,Eastern_Polynesia,yes,-21.3321000,-136.651,16,3.8,,1,0,1,3,8,Mangareva,260,6989,0,1658
Vahitahi,Eastern_Polynesia,no,-18.7742000,-138.8197,16,2.5,,1,1,2,3,73,Mangareva,622,6888,105,
Vairaatea,Eastern_Polynesia,yes,-19.3491000,-139.2201,6,3,,1,2,2,2,56,Mangareva,603,6823,57,
Vaitupu,Tuvalu,yes,-7.2792000,178.6782000,9,5.6,,0,0,0,1,57,Rotuma,580,3386,1061,3393
Vanavana,Eastern_Polynesia,yes,-20.7809000,-139.1407,6,5,,1,0,1,3,58,Mangareva,498,6771,0,
Wailagilala,Fiji,yes,-16.7732000,-179.1073000,1,0.3,,5,6,13,18,73,Vanua_Levu,114,3037,0,
Wake,Isolated_Pacific,yes,19.2960859,166.6269779,3,7.38,,2,3,5,12,858,Pohnpei,1631,3966,0,936
West_Fayu,Carolines,no,8.0743000,146.7162000,1,0.6,,8,5,8,22,74,Chuuk,539,2125,0,
Woleai,Carolines,no,7.3462000,143.8652000,18,4.5,,11,4,8,16,60,Chuuk,845,2002,1081,
Wotho,Marshalls,yes,9.9562337,166.1363121,13,4.33,,4,1,3,8,110,Kosrae,616,3476,97,2159
Wotje,Marshalls,yes,9.438,170.0167,75,8.18,,5,0,2,2,23,Kosrae,896,3774,859,
